Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
QDEL,"Quidel Cp",197.8,-5.8,-2.85%,202.69,196.14,248576,"12:51 ET"
QLYS,"Qualys Inc",124.16,-1.32,-1.05%,126.52,122.03,227501,"12:51 ET"
R,"Ryder System",63.99,0.15,+0.23%,64.68,63.68,91365,"12:49 ET"
RAMP,"Liveramp Holdings Inc",71.82,0.23999999999999,+0.34%,72.37,71.14,91317,"12:43 ET"
RBC,"Regal-Beloit Corp",119.39,0.81,+0.68%,119.98,118.3,34231,"12:52 ET"
REXR,"Rexford Industrial Realty Inc",48.12,-0.46,-0.95%,49.09,47.86,131075,"12:52 ET"
RGA,"Reinsurance Group of America Inc",114.44,2.85,+2.55%,114.99,113.17,50225,"12:52 ET"
RGEN,"Repligen Cp",197.02,2.91,+1.50%,197.35,191.05,196534,"12:52 ET"
RGLD,"Royal Gold Inc",108.94,-0.21000000000001,-0.19%,110.2,108.03,112370,"12:53 ET"
RH,"Restoration Hardware Holdings",467.85,3.26,+0.70%,470,461.3,93663,"12:50 ET"
RLI,"Rli Corp",102.6,-1.03,-0.99%,104.83,102.51,29110,"12:50 ET"
RNR,"Renaissancere Holdings Ltd",161.55,1.11,+0.69%,163.61,160.87,85250,"12:49 ET"
RPM,"RPM International Inc",89.59,0.47,+0.53%,89.94,88.89,59994,"12:47 ET"
RS,"Reliance Steel & Aluminum Company",118.41,0.89999999999999,+0.77%,119.23,117.93,53031,"12:51 ET"
RUN,"Sunrun Inc",69.33,0.060000000000002,+0.09%,71.32,69.02,2197147,"12:53 ET"
RYN,"Rayonier Inc REIT",29.86,0.3,+1.01%,30.14,29.74,148434,"12:50 ET"
SABR,"Sabre Corp",11.43,0.33,+2.97%,11.55,11.13,2284477,"12:52 ET"
SAFM,"Sanderson Farms IN",131.35,1.46,+1.12%,131.76,129.43,48094,"12:49 ET"
SAIC,"Science Applications International",96.39,0.33,+0.34%,97.02,95.86,70489,"12:50 ET"
SAIL,"Sailpoint Technologies Holdings Inc",57.13,-1.72,-2.92%,59.62,56.95,790702,"12:49 ET"
SAM,"Boston Beer Company",1005.25,-17.81,-1.74%,1064.74,1005.25,80648,"12:52 ET"
SBNY,"Signature Bank",134.7,2.54,+1.92%,136.16,132.98,120721,"12:52 ET"
SBRA,"Sabra REIT",17.45,-0.02,-0.11%,17.8,17.4,391168,"12:50 ET"
SCI,"Service Corp International",48.72,0.22,+0.45%,49.1,48.66,134269,"12:52 ET"
SEDG,"Solaredge Tech",326.18,3.66,+1.13%,334.39,320.09,488100,"12:53 ET"
SEIC,"Sei Investments Company",56.71,0.82,+1.47%,56.78,56.14,130064,"12:53 ET"
SF,"Stifel Financial Corp",50.72,0.43,+0.86%,51.34,50.65,88870,"12:51 ET"
SFM,"Sprouts Farmers Mark",20.49,0.28,+1.39%,20.68,20.2,382589,"12:52 ET"
SGMS,"Scientific Games",42.24,0.69,+1.66%,43.13,41.42,157127,"12:52 ET"
SIGI,"Selective Ins Group",66.42,-0.030000000000001,-0.05%,67.46,65.73,52637,"12:51 ET"
SIX,"Six Flags Entertainment Corp",33.74,1.42,+4.39%,34.35,32.7,615483,"12:53 ET"
SKX,"Skechers U.S.A.",36.69,0.46,+1.27%,37,36.31,191307,"12:50 ET"
SLAB,"Silicon Labs Inc",126.17,0.85000000000001,+0.68%,126.73,125.33,26691,"12:48 ET"
SLGN,"Silgan Holdings",36.65,0.33,+0.91%,36.7,36.23,94581,"12:49 ET"
SLM,"SLM Corp",12.24,-0.12,-0.97%,12.42,12.23,1696085,"12:52 ET"
SMG,"Scotts Miracle-Gro Company",200.61,0.68000000000001,+0.34%,201.32,197.44,64931,"12:53 ET"
SMTC,"Semtech Corp",71.58,-0.12,-0.17%,72.12,71.11,70736,"12:50 ET"
SNV,"Synovus Financial Corp",32.48,0.74,+2.33%,32.7,31.94,303678,"12:50 ET"
SNX,"Synnex Corp",82.07,0.94,+1.16%,82.35,80.99,87470,"12:38 ET"
SON,"Sonoco Products Company",59.64,0.29,+0.49%,60.34,59.38,123825,"12:49 ET"
SR,"Spire Inc",63.25,0.14,+0.22%,64.13,63.02,61902,"12:48 ET"
SRC,"Spirit Realty Capital Inc",39.93,-0.079999999999998,-0.20%,40.84,39.82,216507,"12:50 ET"
SRCL,"Stericycle Inc",69.85,0.89,+1.29%,70.42,68.98,140798,"12:53 ET"
